8347	56254
4000	84930
10989	27089
4716	4724
85439	284427
9255	406901
22827	51699
5861	6749
5917	9343
4792	5300
51352	386676
1738	10726
1487	2648
7430	25932
22820	373156
905	2100
9040	23020
2120	5300
3320	5034
8974	90353
9114	51606
6272	23076
4831	10146
3329	388677
6117	55161
23412	54939
27069	126328
2100	5717
5770	65108
6612	10036
22861	55128
5093	10426
4714	5861
3239	94234
515	374291
7874	54033
11342	23673
4190	5236
6241	6491
3837	51701
5500	10155
801	1741
8050	23012
8344	56254
4691	54512
1327	6646
6047	8362
8896	79753
4670	51185
51056	51538
9221	22938
4210	10572
1351	4697
7158	9656
27339	51639
51631	57461
7386	84817
2289	3313
7417	112399
4076	55011
23390	84893
3030	51320
821	6520
10989	23557
51690	115265
1207	29934
3417	4831
6628	51185
6647	8661
5093	6165
2289	25980
23382	152816
8625	64431
11326	79810
28998	54948
84058	390928
5702	23095
3312	5597
1629	4363
9817	27258
22827	51185
10236	81631
23186	79991
23197	79065
51386	56888
821	79701
1973	1981
9343	25994
2289	4172
7158	80169
11186	23291
830	10093
5393	10987
10474	115106
7184	22938
6206	6218
8332	51574
6733	29102
1368	51474
64396	729422
3396	92170
23559	54503
79892	261726
3939	10971
4012	26270
1072	10063
124540	406886
8625	84823
4221	11091
162	10614
4697	55967
6636	22938
4736	23144
805	5971
5495	9040
6636	60313
10262	84844
4595	7507
23367	55781
2932	6446
7514	11052
6128	6206
5634	51035
9638	129563
2885	6760
6657	79595
5684	8570
5728	9368
10988	155006
6625	10985
8799	23197
10971	23367
1576	3312
9039	23028
6794	51094
6727	54433
1457	7112
4729	5250
5684	22827
2896	10539
1029	11186
4140	113174
25813	58472
1072	5300
4792	6188
22938	203068
4174	5684
7112	7158
26270	375387
6156	285855
23101	84466
581	120892
3837	5901
861	6730
5771	55178
1499	8359
5756	57103
4692	60314
54680	254225
6790	55611
498	51574
4722	6646
23098	282809
6138	23144
6205	112858
3441	3444
5802	9638
23507	64327
5093	59286
427	4841
3676	103910
1314	22938
166968	255626
6272	79590
3939	4190
29126	54918
3065	8294
51185	79016
7158	57634
55011	55236
8294	23650
56945	65993
5356	9775
754	9232
4651	7408
483	5597
5701	10540
1622	5887
5515	51382
1653	406976
6386	59349
5001	22938
11337	23212
744	7025
22827	51639
3182	81631
5971	150684
3838	22938
8975	54913
817	92170
9698	406996
7936	83894
2289	10726
142	4097
4704	4715
6259	10163
4215	9093
5861	10128
4087	10274
3191	7428
3836	6223
4134	10614
4659	51444
5917	406976
